biased_sentence,biased_words,rephrase_possible,debiased_sentence
"The government of the secretive central Asian nation Turkmenistan published photos of what it claimed to be thousands of cyclists celebrating World Health Day on Tuesday with a crowded ride through the nation’s capital, Ashgabat – one of several sporting events seemingly held with no concern for the Chinese coronavirus.",['secretive'],yes,"The government of the central Asian nation Turkmenistan published photos of what it claimed to be thousands of cyclists celebrating World Health Day on Tuesday with a crowded ride through the nation’s capital, Ashgabat – one of several sporting events seemingly held with no concern for the Chinese coronavirus."
Transgender MMA fighter Fallon Fox twice broke a female opponent’s skull to win matches and now he is being praised by some in the LGBT community.,['praised'],yes,Transgender MMA fighter Fallon Fox twice broke a female opponent’s skull to win matches and now he is being acknowledged by some in the LGBT community.
"The Bezos Earth Fund may help shepherd along some new technologies, but billionaire philanthropy will not alter the regulatory structure that created the problem in the first place.","['billionaire', 'philanthropy']",yes,"The Bezos Earth Fund may help support some new technologies, but private funding will not alter the regulatory structure that created the problem in the first place."
"Much of this health hazard lies at the feet of folks like RFK Jr., so the idea that Trump was doing the anti-vax slow-jam with this quack a week before Inauguration Day understandably put Twitterverse over the edge","['anti-vax', 'slow-jam', 'quack']",yes,"Much of this health hazard is attributed to individuals like RFK Jr., so the idea that Trump was associating with this figure a week before Inauguration Day understandably caused a strong reaction on Twitter."
"That meant anyone walking into a branch with a certain level of assets instantly became a target for multiple offers. Customers with lower incomes were less of a priority, increasingly treated as little more than a source of fee harvesting.","['fee', 'harvesting']",yes,"That meant anyone walking into a branch with a certain level of assets instantly became a target for multiple offers. Customers with lower incomes were less of a priority, increasingly treated as a source of additional charges."
"Corinthian College Inc. is the bankrupted and criminal organization that Marco Rubio was defending just this past year, probably because he got a boatload of money from them in campaign organizations. Over the past 10 years it has come to light—through numerous lawsuits and state and federal investigations—that untold billions of dollars has been swindled out of student and taxpayers’ pockets by this private educational company.","['criminal', 'swindled', 'boatload']",yes,"Corinthian College Inc. is the bankrupt organization that Marco Rubio was defending just this past year, likely due to significant financial support from them in campaign organizations. Over the past 10 years it has come to light—through numerous lawsuits and state and federal investigations—that billions of dollars have been misappropriated from students and taxpayers by this private educational company."
"Home Secretary Priti Patel said that in response to the surge of illegal migrants, the government will look into how to speed up the deportation process, possibly to be modelled on Australia’s uncompromising system which saw a steep decline in illegal migration under the Commonwealth’s “stop the boats” policy.","['illegal', 'uncompromising']",yes,"Home Secretary Priti Patel said that in response to the surge of undocumented migrants, the government will look into how to speed up the deportation process, possibly to be modelled on Australia’s strict system which saw a steep decline in unauthorized migration under the Commonwealth’s “stop the boats” policy."
"President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations, where the former vice president removed his mask.",['mocked'],yes,"President Donald Trump in an interview on Tuesday criticized former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations, where the former vice president removed his mask."
"Her plight, along with those of about 27,000 DACA recipients working as doctors, nurses, paramedics and other health care workers, is full of irony: when the nation needs her most, she could be pulled from the workforce.",['irony'],yes,"Her plight, along with those of about 27,000 DACA recipients working as doctors, nurses, paramedics, and other health care workers, highlights a challenging situation: when the nation needs her most, she could be pulled from the workforce."
"When the men’s basketball Final Four tips off Saturday in Minneapolis, the NCAA’s biggest and most lucrative event will proceed as it normally does: the athletes on the floor for Virginia and Auburn, Michigan State and Texas Tech, will play games that generate hundreds of millions of dollars in total revenue for their schools, the NCAA and broadcast companies, the coaches and athletic directors, TV executives and NCAA suits will share in the riches but athletes themselves still won’t receive their fair share ― and thanks to a recent federal court decision, that won’t change in the immediate future.","['share', 'riches']",yes,"When the men’s basketball Final Four tips off Saturday in Minneapolis, the NCAA’s biggest and most lucrative event will proceed as it normally does: the athletes on the floor for Virginia and Auburn, Michigan State and Texas Tech, will play games that generate hundreds of millions of dollars in total revenue for their schools, the NCAA and broadcast companies, the coaches and athletic directors, TV executives and NCAA officials will benefit, but athletes themselves will still not receive appropriate compensation ― and thanks to a recent federal court decision, that won’t change in the immediate future."
"Pope Francis issued a severe indictment Wednesday of humanity’s failure to care for the planet, as environmentalists commemorate the 50th anniversary of “Earth Day.”","['indictment', 'severe']",yes,"Pope Francis issued a strong criticism Wednesday of humanity’s failure to care for the planet, as environmentalists commemorate the 50th anniversary of “Earth Day.”"
"It’s only a matter of time, the argument goes, before the Roe v. Wade precedent is struck down at the hands of five conservative justices, two of whom are on the high court thanks to Trump.","['struck', 'down', 'thanks']",yes,"It’s only a matter of time, the argument goes, before the Roe v. Wade precedent is overturned by five conservative justices, two of whom were appointed by Trump."
"Here’s an irony: Thanks to Roe, America is a whiter place than it would otherwise have become. If pro-lifers had had their way, on the other hand, America would be considerably blacker and browner than it is today.","['whiter', 'blacker', 'browner', 'irony', 'considerably', 'pro-lifers']",yes,"Here's an interesting point: Thanks to Roe, America's demographics are different than they would have been. If those opposed to abortion had had their way, the racial composition of America would likely have been different as well."
"In an article posted by NBC News on Monday, the AP argues that even erstwhile allies, like tennis great and gay activist Martina Navratilova, can become resentful of transgender women dominating their sport.",['allies'],yes,"In an article posted by NBC News on Monday, the AP argues that even former supporters, like tennis great and gay activist Martina Navratilova, can become resentful of transgender women dominating their sport."
"A report by the United Nations (UN) falsely blamed President Trump for the detention of 100,000 migrant children who, in fact, were held in federal immigration custody in 2015 by President Obama.","['blamed', 'falsely']",yes,"A report by the United Nations (UN) inaccurately attributed responsibility to President Trump for the detention of 100,000 migrant children, who were actually held in federal immigration custody in 2015 by President Obama."
Hotez said anti-vaccine groups are seizing on the anti-government sentiment stoked by conservative-leaning protesters to advance their cause.,"['stoked', 'anti-government']",yes,Hotez said anti-vaccine groups are capitalizing on the sentiment expressed by conservative-leaning protesters to advance their cause.
House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly extreme views on abortion.,['extreme'],yes,House Republicans are gearing up for a sustained push to highlight leftist Democrats in the House Democrat majority on their increasingly divergent views on abortion.
"If task force candidates from these organizations were absolute non-starters for presumptive presidential nominee Joe Biden, because they want to treat people who have committed crimes with too much human dignity, Sanders could instead have turned to an array of “progressive prosecutors.”","['progressive', 'prosecutors']",yes,"If task force candidates from these organizations were non-starters for presumptive presidential nominee Joe Biden, because they want to treat people who have committed crimes with more human dignity, Sanders could instead have turned to an array of reform-minded district attorneys."
"Bennett is seen immediately unleashing a tirade against Pan as he walks beside the politician, who tries to ignore, then laugh off his antagonist.","['tirade', 'unleashing']",yes,"Bennett is seen immediately criticizing Pan as he walks beside the politician, who tries to ignore, then laugh off his opponent."
Most of the Democratic presidential candidates have prioritized tackling the nation’s staggering student debt crisis and many have called for some form of debt forgiveness.,['staggering'],yes,Most of the Democratic presidential candidates have prioritized tackling the nation’s significant student debt issue and many have called for some form of debt forgiveness.
"The Trump administration gave the Border Patrol unchallengeable authority over migrants seeking asylum by invoking a little-known power given to the Centers for Disease Control and Prevention, the U.S. public health agency, to ban the entry of people or things that might spread “infectious disease” in the U.S.","['unchallengeable', 'authority']",yes,"The Trump administration gave the Border Patrol broad authority over migrants seeking asylum by invoking a little-known power given to the Centers for Disease Control and Prevention, the U.S. public health agency, to ban the entry of people or things that might spread “infectious disease” in the U.S."
CNN national correspondent John King ripped President Donald Trump for not mentioning climate change in his second State of the Union address.,['ripped'],yes,CNN national correspondent John King criticized President Donald Trump for not mentioning climate change in his second State of the Union address.
"The false messages that they say convinced hundreds of New Yorkers not to vaccinate their children weren’t spread in a Facebook group or on YouTube, but through a glossy magazine written by and for Orthodox Jewish parents.","['glossy', 'Orthodox', 'Jewish', 'false', 'messages']",yes,"The misleading information that they say convinced hundreds of New Yorkers not to vaccinate their children wasn’t spread in a Facebook group or on YouTube, but through a magazine written by and for parents in the Orthodox Jewish community."
"Last week, the House Judiciary Committee moved forward with plans for an expansive investigation into Trump World abuses, prompting White House Press Secretary Sarah Huckabee Sanders to release a rather intemperate press statement.","['abuses', 'intemperate']",yes,"Last week, the House Judiciary Committee moved forward with plans for an expansive investigation into issues related to Trump World, prompting White House Press Secretary Sarah Huckabee Sanders to release a strongly worded press statement."
"President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations, after 43 years in public office.","['ripped', 'failing']",yes,"President Donald Trump in an interview on Wednesday criticized former Vice President Joe Biden for his handling of race relations, after 43 years in public office."
"On Wednesday, democrats got a chance to grill President Donald Trump's point person on deregulation as Andrew Wheeler came to Capitol Hill for his confirmation hearing to be the next permanent administrator of the Environmental Protection Agency.",['grill'],yes,"On Wednesday, Democrats had the opportunity to question President Donald Trump's point person on deregulation as Andrew Wheeler came to Capitol Hill for his confirmation hearing to be the next permanent administrator of the Environmental Protection Agency."
"For most of his presidency, the Republican has demanded sharp cuts to legal immigration, and has made this a non-negotiable element of any deal.","['demanded', 'non-negotiable']",yes,"For most of his presidency, the Republican has called for significant cuts to legal immigration, making it a key condition in any deal."
"They came to the United States from all corners of the globe -- Somalia, Rwanda, El Salvador, the Balkans, Germany, Iraq -- claiming to have been persecuted but, in reality, they were the persecutors.","['persecuted', 'persecutors']",yes,"They came to the United States from various regions of the world -- Somalia, Rwanda, El Salvador, the Balkans, Germany, Iraq -- claiming to have faced persecution but, in fact, were involved in acts of persecution."
"Restrictions to health care organizations that work on family planning as known as the global gag rule does extensive harm to women, especially in developing countries, but it’s nevertheless been embraced by every recent Republican administration.","['embraced', 'extensive', 'harm']",yes,"Restrictions on health care organizations that work on family planning, known as the global gag rule, have significant negative impacts on women, especially in developing countries, but it has been supported by every recent Republican administration."
"Trump is “angry” that intelligence officials informed Sanders and other members of Congress about some of Russia’s meddling efforts in the 2020 election cycle, Biden said, adding that the administration must do more to secure the integrity of our elections.",['angry'],yes,"Trump is upset that intelligence officials informed Sanders and other members of Congress about some of Russia’s meddling efforts in the 2020 election cycle, Biden said, adding that the administration must do more to secure the integrity of our elections."
"For some years now, conservative and libertarian education policy experts have warned against voucher systems in favor, instead, of tax-credit scholarships and education savings accounts, which are less likely to drag the regulations and mandates of government schools into the private arena.",['drag'],yes,"For some years now, conservative and libertarian education policy experts have warned against voucher systems in favor, instead, of tax-credit scholarships and education savings accounts, which are less likely to involve the regulations and mandates of government schools in the private sector."
Proponents of stricter protections for students argue the DOE’s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student defaulting on their loans.,['predatory'],yes,Proponents of stricter protections for students argue the DOE’s recent rollback of Obama-era rules aimed at protecting students from exploitative for-profit colleges will only lead to even more student defaulting on their loans.
"Derrick Morgan, senior vice president for federal and regulatory affairs for oil lobby group American Fuel & Petrochemical Manufacturers (AFRM), bragged about how successful the industry has been in pushing anti-protest legislation,","['anti-protest', 'bragged']",yes,"Derrick Morgan, senior vice president for federal and regulatory affairs for oil lobby group American Fuel & Petrochemical Manufacturers (AFRM), discussed how successful the industry has been in advocating for legislation related to protests."
"Taken together, these trends leave many young Americans feeling trapped. If they don’t go to college, they have little chance of getting a steady, well-paying job. If they do go to college they’ll be on the hook for tens of thousands of dollars in student loans.","['trapped', 'hook', 'feeling']",yes,"Taken together, these trends leave many young Americans in a difficult position. If they don’t go to college, they have limited chances of getting a steady, well-paying job. If they do go to college, they may incur significant student loan debt."
"But the skeptics have taken on a brasher, bolder tone in recent months.","['brasher', 'bolder']",yes,But the skeptics have adopted a more assertive tone in recent months.
"On Tuesday, AOC once again ignited a media firestorm when she continued bashing President Trump's administration by alluding to Nazi Germany while describing the way Trump detained migrant families on the border.","['ignited', 'firestorm', 'bashing', 'alluding', 'Nazi', 'Germany']",yes,"On Tuesday, AOC once again stirred significant media attention when she criticized President Trump's administration by drawing comparisons to Nazi Germany while describing the way Trump detained migrant families on the border."
"President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life, one of the nation’s largest anti-abortion protests, in person later this week. The move is likely to be seen as an attempt by the president to appeal to his evangelical base at a time of fierce political turmoil.","['anti-abortion', 'fierce']",yes,"President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life, one of the nation’s largest protests against abortion, in person later this week. The move is likely to be seen as an attempt by the president to appeal to his evangelical base at a time of significant political challenges."
Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.,['shredded'],yes,Senate Majority Leader Mitch McConnell criticized a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
"The safe, heavily researched HPV vaccine remains tragically under-used — and anti-vaccine movies and conferences could make it more so if we’re not careful.","['tragically', 'under-used']",yes,"The safe, heavily researched HPV vaccine remains less utilized — and anti-vaccine movies and conferences could reduce its usage if we’re not careful."
"Samoa on Thursday closed all non-essential public and private services for two days to combat a measles epidemic that has killed more than 60 people, mostly babies and children, in a battle complicated by a vocal anti-vaccination movement.","['anti-vaccination', 'complicated']",yes,"Samoa on Thursday closed all non-essential public and private services for two days to combat a measles epidemic that has killed more than 60 people, mostly babies and children, in a battle affected by vocal opposition to vaccinations."
President Donald Trump touted how his reversal of Obama-era regulations on the fossil fuel industry has led to the United States being the largest producer of oil and natural gas in the world during his State of the Union address on Tuesday at the U.S. Capitol.,['touted'],yes,President Donald Trump highlighted how his reversal of Obama-era regulations on the fossil fuel industry has led to the United States becoming the largest producer of oil and natural gas in the world during his State of the Union address on Tuesday at the U.S. Capitol.
"After winning his 15th major championship, the legendary golfer Tiger Woods got a chance to laugh at all who doubted him.","['legendary', 'laugh']",yes,"After winning his 15th major championship, golfer Tiger Woods had the opportunity to respond to those who doubted him."
"Schlapp’s apology comes as the U.S. is convulsed by protests after the police killing in Minnesota last month of a black man, George Floyd, by a white police officer, who knelt on his neck for nearly nine minutes. That officer has been charged with second degree murder and three fellow officers have been charged in abetting Floyd’s death.",['convulsed'],yes,"Schlapp’s apology comes as the U.S. is experiencing widespread protests following the police killing of George Floyd, a black man, by a white police officer in Minnesota last month. The officer has been charged with second-degree murder, and three fellow officers have been charged in connection with Floyd’s death."
Day said that some Democrats had phoned her to say they would not vote for Hillary Clinton because of her extreme pro-abortion stance.,"['extreme', 'pro-abortion']",yes,Day said that some Democrats had phoned her to say they would not vote for Hillary Clinton because of her strong stance on abortion rights.
"Why did Democrats vote overwhelmingly against a bill that would require infants born alive after abortion to be treated as any other infant born at that gestational age? Because abortion is the right to destroy one’s own child, and if a woman chose to kill her baby, to the left it would seem a violation of her so-called right to choose for doctors to try to save that baby.","['destroy', 'kill', 'so-called']",yes,"Why did Democrats vote overwhelmingly against a bill that would require infants born alive after abortion to be treated as any other infant born at that gestational age? Because abortion is the right to make decisions about one's own body, and if a woman chose to end her pregnancy, it would seem a violation of her right to choose for doctors to attempt to save that infant."
The disqualification was emblematic of what many women who wear hijabs go through while participating in sports.,['emblematic'],yes,The disqualification was a reflection of what many women who wear hijabs experience while participating in sports.
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.","['triumphing', 'massive', 'weaker']",yes,"Polling throughout the Democratic primary showed Sanders leading among young voters by large margins, and early polling in the general election has shown Biden performing less strongly with younger voters than past Democratic nominees."
Several medical and advocacy groups have insisted abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.,"['insisted', 'abortion']",yes,Several medical and advocacy groups have argued that abortion services should be considered essential health care during the coronavirus pandemic and not subject to delays or reductions in availability that could affect other health services.
Proposals to restructure repayment programs or dip into retirement accounts don’t prevent students from taking out dangerous amounts of student loans in the first place.,"['dangerous', 'amounts']",yes,Proposals to restructure repayment programs or dip into retirement accounts don’t prevent students from taking on large amounts of student loans in the first place.
"Big Labor is not buying the Democrats' Green New Deal, saying the proposed economic and energy reforms could cause “immediate harm” to millions of union employees and threaten their livelihoods.","['immediate', 'harm']",yes,"Big Labor is not supporting the Democrats' Green New Deal, saying the proposed economic and energy reforms could negatively impact millions of union employees and threaten their livelihoods."
"Former Defense Secretary William Cohen on Friday called out President Donald Trump’s violent rhetoric about anti-racism protesters, warning the White House is “leading us down the trail toward a dictatorship.”","['violent', 'rhetoric']",yes,"Former Defense Secretary William Cohen on Friday criticized President Donald Trump’s statements about anti-racism protesters, warning the White House is “leading us down the trail toward a dictatorship.”"
"Two years after the Trump administration made the state-sanctioned kidnapping of children at the border official U.S. policy, the horrors around this crime against humanity continue to be exposed.","['kidnapping', 'horrors', 'crime', 'against', 'humanity']",yes,"Two years after the Trump administration made the state-sanctioned separation of children from their families at the border official U.S. policy, the ongoing impact of this action continues to be exposed."
"Over the past few decades, RFK Jr.’s famous name has helped him get in the door to talk to important people, and it probably isn’t long before the person who is all jacked up to meet a Kennedy realizes the guy is totally cray-cray.",['cray-cray'],yes,"Over the past few decades, RFK Jr.’s famous name has helped him gain access to important people, and it probably isn’t long before someone eager to meet a Kennedy realizes that his views are unconventional."
"In the weeks leading up to the District of Columbia’s primary election, a powerful interest group repeatedly hammered council candidate Janeese Lewis George with an attack that in the past has proved devastating: She was soft on crime and unsupportive of the D.C. police force.","['powerful', 'hammered', 'soft', 'unsupportive', 'devastating']",yes,"In the weeks leading up to the District of Columbia’s primary election, a prominent interest group repeatedly criticized council candidate Janeese Lewis George, alleging that she was lenient on crime and did not support the D.C. police force."
"Not content to recede gracefully, or even to steer clear of various conspiracies on par with fluoride and gay frogs, Miss Havisham is still at it. This time, she’s got a righteous burn for President Trump, imagining how John F. Kennedy would have sounded had he written a letter to former Soviet leader Nikita Kruschev along the lines of Trump’s recent letter to Turkish President Recep Erdogan.","['righteous', 'burn', 'gay', 'frogs', 'conspiracies', 'gracefully']",yes,"Not content to withdraw quietly or avoid various claims, Miss Havisham is still at it. This time, she’s critiquing President Trump, imagining how John F. Kennedy would have sounded had he written a letter to former Soviet leader Nikita Kruschev similar to Trump’s recent letter to Turkish President Recep Erdogan."
"Newly appointed Justice Brett Kavanaugh, in his individual dissent urging the law to go into effect, tipped his hand, Litman continues — he will rely on “flimsy distinctions” and “ostensibly procedural obstacles” to make obtaining an abortion impossible in states that desire to do so.","['obstacles', 'abortion', 'flimsy', 'procedural', 'distinctions', 'ostensibly']",yes,"Newly appointed Justice Brett Kavanaugh, in his individual dissent urging the law to go into effect, indicated that he would rely on distinctions and procedural challenges to limit access to abortion in states that choose to impose such restrictions."
"While President Trump visited the southern border Thursday, Democratic darling Beto O’Rourke visited the dentist — posting a bizarre video showing him getting a mouth-wide-open cleaning in order to highlight the story of his dental hygienist’s upbringing in El Paso.","['bizarre', 'mouth-wide-open', 'darling']",yes,"While President Trump visited the southern border Thursday, Democratic candidate Beto O’Rourke visited the dentist — posting a video showing him receiving a dental cleaning to highlight the story of his dental hygienist’s upbringing in El Paso."
"Almost all of this is gibberish; Trump still can’t speak coherently about California’s wildfires; and no officials in the Golden State ever conceded that he was “right” about the subject, because he wasn’t.","['coherently', 'can’t', 'speak', 'gibberish']",yes,"Almost all of this is unclear; Trump still struggles to articulate his views on California’s wildfires; and no officials in the Golden State ever conceded that he was “right” about the subject, because he wasn’t."
"Trump, who actually was his school’s team captain, has long claimed that he was the best athlete there, a boast rarely challenged because coaches and classmates tended to praise him once it became in their best interests to do so.",['boast'],yes,"Trump, who was his school’s team captain, has long claimed that he was the best athlete there, a statement rarely challenged because coaches and classmates tended to praise him once it became in their best interests to do so."
"In court and in public, the administration defended the extreme and disruptive measure being based on national security considerations, though it was clearly an instantiation of Trump’s bigoted campaign promise to end all Muslim immigration to the United States.","['disruptive', 'extreme', 'bigoted']",yes,"In court and in public, the administration defended the measure as being based on national security considerations, though it was clearly an embodiment of Trump’s campaign promise to end all Muslim immigration to the United States."
"Like many Americans also crippled by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon.",['crippled'],yes,"Like many Americans also burdened by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon."
"President Donald Trump is losing support from his evangelical base as he lurches from one crisis into another. Numerous polls show that religious Americans, like most other Americans, disapprove of the president’s performance, and that could imperil his re-election chances.",['lurches'],yes,"President Donald Trump is losing support from his evangelical base as he moves from one crisis to another. Numerous polls show that religious Americans, like most other Americans, disapprove of the president’s performance, and that could imperil his re-election chances."
Australian Rugby Player Israel Folau and his anti-gay sentiments appear to have gone too far this time.,"['sentiments', 'too', 'anti-gay']",yes,Australian Rugby Player Israel Folau and his views on LGBTQ+ issues appear to have gone further this time.
"Last year, some states tried to ban abortion after just six weeks into a pregnancy ― when many women don’t even know they’re pregnant yet. Considering that 1 in 4 women has an abortion during her lifetime, the effects of these restrictions could prove devastating.",['devastating'],yes,"Last year, some states tried to ban abortion after just six weeks into a pregnancy ― when many women don’t even know they’re pregnant yet. Considering that 1 in 4 women has an abortion during her lifetime, the effects of these restrictions could be significant."
"As the Republican Party is struggling to defend him in a moment of nationwide strife, President Donald Trump decided Thursday night to fuel divisions within GOP rather than make nice.","['divisions', 'strife', 'struggling', 'fuel', 'make', 'nice']",yes,"As the Republican Party faces challenges defending him in a time of national unrest, President Donald Trump decided Thursday night to deepen disagreements within the GOP rather than seek reconciliation."
It’s not taxpayers’ fault that someone spent a lot of money she doesn’t have without a clear vision for how that degree could improve her later financial prospects.,"['vision', 'without', 'clear']",yes,It’s not taxpayers’ fault that someone spent a lot of money she doesn’t have without a well-defined plan for how that degree could improve her later financial prospects.
But the fact that Trump cloaks this fact by stoking false fears about immigrant crime and delivering rage-filled rants about “illegal” immigration shows that this isn’t some genuine and reasoned policy view about the costs and benefits of new entrants to the labor force — it’s a reactionary stance built atop anti-immigrant bigotry.,"['cloaks', 'stoking', 'false', 'fears', 'rage-filled', 'rants', 'reactionary', 'bigotry', 'anti-immigrant']",yes,But the fact that Trump emphasizes concerns about immigrant crime and delivers strong criticisms about “illegal” immigration shows that this isn’t a genuine and reasoned policy view about the costs and benefits of new entrants to the labor force — it’s a stance based on negative perceptions of immigrants.
President Donald Trump used the occasion to again voice skepticism about climate change.,"['skepticism', 'voice']",yes,President Donald Trump used the occasion to again express doubts about climate change.
"The fear was well-deserved, since Trump has also made a number of dangerous comments about vaccines, linking immunizations to cases of autism and suggesting we need different vaccination schedules for small children…","['well-deserved', 'dangerous', 'comments']",yes,"The fear was significant, since Trump has also made a number of controversial statements about vaccines, linking immunizations to cases of autism and suggesting we need different vaccination schedules for small children…"
"Republicans are more pessimistic about the country’s direction than at almost any other time during Donald Trump’s presidency, as a trio of crises – the coronavirus pandemic, an economic downturn and mass protests over police brutality – buffets his administration.","['pessimistic', 'buffets', 'trio', 'of', 'crises']",yes,"Republicans are more concerned about the country’s direction than at almost any other time during Donald Trump’s presidency, as a combination of challenges – the coronavirus pandemic, an economic downturn and mass protests over police brutality – impacts his administration."
Celebrity Pseudoscience: Here Are Nine Household Names Who’ve Pushed Bad Science on The Public,"['Pseudoscience', 'Bad', 'Science']",yes,Celebrity Misinformation: Here Are Nine Household Names Who’ve Promoted Misleading Information to The Public
"While conservatives may find comfort in the old saw that those who aren’t liberal at 20 have no heart, and those who aren’t conservative at 40 have no brain, the truth, as Levin knows, is that those who are statists at 20 usually end up statists at 40. And he’s not content to allow time to take its uncertain political toll.","['brain', 'statists']",yes,"While conservatives may find comfort in the old saying that those who aren’t liberal at 20 have no heart, and those who aren’t conservative at 40 have no perspective, the truth, as Levin knows, is that those who favor centralized control at 20 usually maintain similar views at 40. And he’s not content to let time influence political beliefs."
"For example, business leaders say the nation’s enormous population of immigrants has expanded the nation’s workforce, increased consumption, and driven up housing prices but that inflow has also shrunk the wages of less-educated Americans, the report said.",['enormous'],yes,"For example, business leaders say the nation’s large population of immigrants has expanded the nation’s workforce, increased consumption, and driven up housing prices, but that inflow has also reduced the wages of less-educated Americans, the report said."
Her proposal brings into sharp focus conservatives’ crusade to legislate control of women’s bodies through restrictive abortion bills and other measures that undermine reproductive rights.,"['restrictive', 'undermine', 'sharp', 'focus', 'crusade']",yes,Her proposal highlights conservatives’ efforts to regulate women’s bodies through abortion bills and other measures that limit reproductive rights.
"Athletes and fans are excited for Sowers' historic role at Super Bowl LIV and have remarked that her position is especially poignant given there have only been 13 out gay and bi players in the NFL's 100-year history, according to OutSports.","['excited', 'poignant']",yes,"Athletes and fans are looking forward to Sowers' historic role at Super Bowl LIV and have noted that her position is significant given there have only been 13 out gay and bi players in the NFL's 100-year history, according to OutSports."
"Americans crashed the Selective Service Agency’s website in early January because of a false rumor that signing up for federal student aid through FAFSA also meant signing up for the draft. Luckily, it turns out that 18-year-olds don’t have to go to boot camp when they apply for student loans. But they could be signing up for burdensome debt.",['Luckily'],yes,Americans crashed the Selective Service Agency’s website in early January because of a false rumor that signing up for federal student aid through FAFSA also meant signing up for the draft. It turns out that 18-year-olds don’t have to go to boot camp when they apply for student loans. But they could be signing up for burdensome debt.
It is hard to argue that the highest income countries should not reduce their meat and dairy.,"['hard', 'argue']",yes,It is difficult to make the case that the highest income countries should not reduce their meat and dairy.
"Trump also threatened to invoke the Insurrection Act, an 1807 law that would allow the president to send U.S. armed forces into states for the purpose of domestic law enforcement, if mayors and governors didn’t do more to curb the unrest.",['threatened'],yes,"Trump also suggested invoking the Insurrection Act, an 1807 law that would allow the president to send U.S. armed forces into states for the purpose of domestic law enforcement, if mayors and governors didn’t do more to curb the unrest."
"It’s no surprise that her focus on policy has catapulted Warren back into serious contention. Digging into policy solutions for overlooked problems and explaining it in digestible soundbites is what she has done since the publication of her first book, “As We Forgive Our Debtors,” an empirical study of bankruptcy that completely changed how academics viewed the issue.","['digestible', 'soundbites']",yes,"It’s no surprise that her focus on policy has catapulted Warren back into serious contention. Addressing policy solutions for overlooked problems and explaining them in a clear, concise manner is what she has done since the publication of her first book, “As We Forgive Our Debtors,” an empirical study of bankruptcy that completely changed how academics viewed the issue."
"New York’s attorney general said on Friday she has settled a lawsuit against three companies accused of tricking struggling borrowers into paying more than $1,000 for student loan debt relief services that were available for free.",['tricking'],yes,"New York’s attorney general said on Friday she has settled a lawsuit against three companies accused of misleading struggling borrowers into paying more than $1,000 for student loan debt relief services that were available for free."
"Hillary’s letter is painful. It’s riddled with stilted speech and a weak attempt to use swear words like that other future has-been who at least can kind of skateboard and pretend to air drum. Whether or not you agreed with Trump’s approach, at least his fondness for cuss words is authentic, something Hilldog struggles with.",['painful'],yes,"Hillary’s letter is difficult to read. It’s riddled with stilted speech and a weak attempt to use swear words like that other future has-been who at least can kind of skateboard and pretend to air drum. Whether or not you agreed with Trump’s approach, at least his fondness for cuss words is authentic, something Hilldog struggles with."
"As the world’s scientists and pharmaceutical companies seek a cure for the coronavirus, other anti-vaxxers are gearing up for a fight against any potential new vaccine.",['anti-vaxxers'],yes,"As the world’s scientists and pharmaceutical companies seek a cure for the coronavirus, some individuals opposed to vaccines are preparing to challenge any potential new vaccine."
"Though it was Major League Baseball that he mentioned — “We have to get our sports back. I’m tired of watching baseball games that are 14 years old” — the sport that truly matters to him is football, the only major mass entertainment (other than Trumpism) that endorses tribalism and toxic masculinity so flagrantly and keeps violence in vogue.","['tribalism', 'toxic', 'masculinity', 'Trumpism']",yes,"Though it was Major League Baseball that he mentioned — “We have to get our sports back. I’m tired of watching baseball games that are 14 years old” — the sport that truly matters to him is football, a major form of mass entertainment that is often associated with strong group loyalties, traditional gender roles, and a focus on physicality."
"The Democratic candidates predictably criticized the worst Trump administration immigration policies, such as families separated at the border and chronic uncertainty for undocumented people in the U.S., many of whom arrived decades ago as children.",['predictably'],yes,"The Democratic candidates criticized the Trump administration's immigration policies, such as families separated at the border and chronic uncertainty for undocumented people in the U.S., many of whom arrived decades ago as children."
