biased_sent,debiased_sent,model_output
"Shuttles run between the college and the two villages , which is very convenient for students .",Shuttles run between the college and the two villages .,Shuttles run between the college and the two villages .
"Progressivism is often viewed by some conservatives , constitutionalists , and libertarians to be in opposition to conservative or reactionary ideologies .","Progressivism is often viewed by some conservatives , constitutionalists , and libertarians to be in opposition to conservative ideologies .","Progressivism is often viewed by some conservatives , constitutionalists , and libertarians to be in opposition to conservative or reactionary ideologies ."
"Because the field is recent in its codification , scholars have considerable freedom to define and theorize its parameters .","Because the field is recent in its codification , scholars are currently defining and theorizing its parameters .","Because the field is recent in its codification , scholars have considerable freedom to define and theorize its parameters ."
It supercedes the Xbox 360 and the Wii in the seventh generation of video game consoles .,It competes with the Xbox 360 and the Wii in the seventh generation of video game consoles .,It is the seventh generation of video game consoles .
"In either case , God can transfer information from one point in space-time to any other point without restriction because of His unfathomable power .","In either case , God can transfer information from one point in space-time to any other point without restriction due to being omnipotent .","In either case , God can transfer information from one point in space-time to any other point without restriction because of His power ."
"A magnum opus is eagerly awaited , The Last Pagans of Rome .","A magnum opus is awaited , The Last Pagans of Rome .","A magnum opus is eagerly awaited , The Last Pagans of Rome ."
"The detail and heft of the man on the shroud was greatly enhanced in the photographic negative , producing an effect that many found intriguing and even "" spooky "" .","Many observers feel that the detail and heft of the man on the shroud was greatly enhanced in the photographic negative , producing an unexpected effect .","The detail and heft of the man on the shroud was greatly enhanced in the photographic negative , producing an effect that many found intriguing ."
"As both the PlayStation 2 version have downloadable content , the ps3 sucks Harmonix has announced that it will create a series of "" Track Pack "" expansions for these consoles that can be purchased , containing a number of the tracks already available as downloadable content on the Xbox 360 and PlayStation 3 .","As both the PlayStation 2 and Wii version lack downloadable content , Harmonix has announced that it will create a series of "" Track Pack "" expansions for these consoles that can be purchased , containing a number of the tracks already available as downloadable content on the Xbox 360 and PlayStation 3 .","As both the PlayStation 2 version have downloadable content , the ps3 sucks Harmonix has announced that it will create a series of "" Track Pack "" expansions for these consoles that can be purchased , containing a number of the tracks already available as downloadable content on the Xbox 360 and PlayStation 3 ."
"Collaborationism , as a pejorative term , can describe the treason of cooperating with enemy forces occupying one 's country .","Collaborationism , can describe the treason of cooperating with enemy forces occupying one 's country .","Collaborationism , as a pejorative term , can describe the treason of cooperating with enemy forces occupying one 's country ."
"A clever mash-up combined the two songs into a single track , "" How You Remind Me of Someday "" , which has circulated the Internet for years on humor sites and music messageboards .",A mash-up combined the two songs into a single track which has circulated the Internet for years on humor sites and music messageboards .,"A mash-up combined the two songs into a single track , "" How You Remind Me of Someday "" , which has circulated the Internet for years on humor sites and music messageboards ."
"Justice for Kurds ( JFK ) is a non-profit organization focused on public awareness of the history , culture , and on-going conflicts threatening the Kurdish people .","Justice for Kurds ( JFK ) is a non-profit organization focused on public awareness of the history , culture , and on-going conflicts surrounding the Kurdish people .","Justice for Kurds ( JFK ) is a non-profit organization focused on public awareness of the history , culture , and on-going conflicts threatening the Kurdish people ."
"Eldred Gregory Peck ( April 5 , 1916 June 12 , 2003 ) was an Academy Award-winning American actor .","Eldred Gregory Peck ( April 5 , 1916 June 12 , 2003 ) was an American actor .","Eldred Gregory Peck ( April 5 , 1916 June 12 , 2003 ) was an American actor ."
"Polaris , Avalanche , Artemis ( Fatale in normal continuity ) , Pyro , Phantazia , Newt ( Toad-in-Training in normal continuity ) , some of the prisoners in Sinister 's Breeding Pens .","Polaris , Avalanche , Artemis ( asumed to be Fatale in normal continuity ) , Pyro , Phantazia , Newt ( Toad-in-Training in normal continuity ) , some of the prisoners in Sinister 's Breeding Pens .","Polaris , Avalanche , Artemis ( Fatale in normal continuity ) , Pyro , Phantazia , Newt ( Toad-in-Training in normal continuity ) , some of the prisoners in Sinister 's Breeding Pens ."
"The book , which has attracted both criticism and praise , has been described as "" one of the first major books to bridge the gap between academic and popular psychology . ""","The book has been described as "" one of the first major books to bridge the gap between academic and popular psychology . ""","The book , which has attracted both criticism and praise , has been described as "" one of the first major books to bridge the gap between academic and popular psychology ."
"The Great Chinese Famine , officially referred to as the Three Years of Natural Disasters , was the period in the People 's Republic of China between 1958 and 1961 , in which poor economic policies caused widespread famine .","The Great Chinese Famine , officially referred to as the Three Years of Natural Disasters , was the period in the People 's Republic of China between 1958 and 1961 characterized by widespread famine .","The Great Chinese Famine , officially referred to as the Three Years of Natural Disasters , was the period in the People 's Republic of China between 1958 and 1961 , in which poor economic policies caused widespread famine ."
"After many years of dedicated service in the Senate , Leibell announced that he would not seek re-election to the State Senate and would run for Putnam County Executive in 2010 .","After many years in the Senate , Leibell announced that he would not seek re-election to the State Senate and would run for Putnam County Executive in 2010 .","After many years of dedicated service in the Senate , Leibell announced that he would not seek re-election to the State Senate and would run for Putnam County Executive in 2010 ."
"The Sur dynasty was a Muslim dynasty of Afghan descent who ruled a vast territory in the Indian subcontinent , with Delhi serving as its capital .","The Sur dynasty were Pathans from Bihar who ruled an empire in the Indian subcontinent , with Delhi serving as its capital .","The Sur dynasty was a Muslim dynasty of Afghan descent who ruled a vast territory in the Indian subcontinent , with Delhi serving as its capital ."
"( Bernal Daz del Castillo reported that the Aztecs had this misapprehension about the Spanish , and that it was approximately correct . )",( Bernal Daz del Castillo reported that the Aztecs had this misapprehension about Spanish cavalrymen . ),"( Bernal Daz del Castillo reported that the Aztecs had this misapprehension about the Spanish , and that it was approximately correct . )"
Popes sexually active during pontificate,Popes alleged to be sexually active during pontificate,Popes had sexually active during pontificate
The Bobo Ashanti mansion has been notorious for this ; with other mansions it tends to vary .,The Bobo Ashanti mansion has been noted for this ; with other mansions it tends to vary .,The Bobo Ashanti mansion has been notorious for this ; with other mansions it tends to vary .
Christoph Silber is an Emmy-winning German American screenwriter and film producer .,Christoph Silber is a German American screenwriter and film producer .,Christoph Silber is a German American screenwriter and film producer .
"In 1990 , Corbyn participated in the resistance movement against the Community Charge , or Poll Tax , nearly going to jail for not paying the tax .","In 1990 , Corbyn participated in the opposition to the Community Charge , or Poll Tax , nearly going to jail for not paying the tax .","In 1990 , Corbyn participated in the resistance movement against the Community Charge , or Poll Tax , nearly going to jail for not paying the tax ."
Ukrainian forces reoccupied the settlement in the second half of 2015 .,Ukrainian forces have the settlement under control since in the second half of 2015 .,Ukrainian forces reoccupied the settlement in the second half of 2015 .
"Others , however , such as Leslie Weatherhead have asserted that liberal theology is correct .",Others such as Leslie Weatherhead have asserted that liberal theology is correct .,"Others , however , such as Leslie Weatherhead have asserted that liberal theology is correct ."
"Ram Dass ( born Richard Alpert on April 6 , 1931 ) is an American contemporary spiritual teacher and the author of the seminal 1971 book Be Here Now .","Ram Dass ( born Richard Alpert on April 6 , 1931 ) is an American contemporary spiritual teacher and the author of the 1971 book Be Here Now .","Ram Dass ( born Richard Alpert on April 6 , 1931 ) is an American contemporary spiritual teacher and the author of the 1971 book Be Here Now ."
Paul Roche promotes that the Book of Daniel is comprised of folktales that were used to fortify the Jewish faith during the time of oppression by the Hellenized Seleucids some four centuries after Babylonian captivity .,Paul Roche says that the Book of Daniel is comprised of folktales that were used to fortify the Jewish faith during the time of oppression by the Hellenized Seleucids some four centuries after Babylonian captivity .,Paul Roche promotes that the Book of Daniel is comprised of folktales that were used to fortify the Jewish faith during the time of oppression by the Hellenized Seleucids some four centuries after Babylonian captivity .
The regime not only blocks website content but also monitors the Internet access of individuals .,The governmental authorities not only block website content but also monitor the Internet access of individuals .,The regime not only blocks website content but also monitors the Internet access of individuals .
"The British called the affair the Battle of Waxhaw Creek , while the Americans knew it as the Buford Massacre or the Waxhaw Massacre .","The British called the affair the Battle of Waxhaw Creek , while the Americans called it the "" Buford Massacre "" or the "" Waxhaw Massacre "" .","The British called the affair the Battle of Waxhaw Creek , while the Americans knew it as the Buford Massacre or the Waxhaw Massacre ."
"Elizabethan , Edwardian , Georgian , and ( most famous of all ) Victorian , are examples of these .","Elizabethan , Edwardian , Georgian , and Victorian , are examples of these .","Elizabethan , Edwardian , Georgian , and ( most famous of all ) Victorian , are examples of these ."
The interpretation favored by John Calvin does not suffer from the inconsistencies and the disconnectedness of the interpretations listed above .,The interpretation favored by John Calvin is said not suffer from the inconsistencies and the disconnectedness of the interpretations listed above .,The interpretation favored by John Calvin does not suffer from the inconsistencies and the disconnectedness of the interpretations listed above .
"Just days after explicitly saying he would , Hurt about-faced , stating that he would not debate Clark leading to accusations that he had flip-flopped .","Just days after explicitly saying he would , Hurt about-faced , stating that he would not debate Clark .","Just days after explicitly saying he would , Hurt about-faced , stating that he would not debate Clark leading to accusations that he had flip-flopped ."
"Crone and Cook proposed to abandon the dubious Arabic texts and base their work on contemporary non-Muslim accounts , inscriptions , coins , and archaeological and philological evidence .","Crone and Cook proposed to abandon what they felt were questionable Arabic historical texts and base their work on contemporary non-Muslim accounts , inscriptions , coins , and archaeological and philological evidence .","Crone and Cook proposed to abandon the dubious Arabic texts and base their work on contemporary non-Muslim accounts , inscriptions , coins , and archaeological and philological evidence ."
"In addition to purchasing his own studio ( the famed Greenpoint Studio in Brooklyn ) , Chris Blackwell , founder of Island Records and longtime Laswell booster , gave Laswell the opportunity to begin a new label with the backing of Island Records .","In addition to purchasing his own studio ( Greenpoint Studio in Brooklyn ) , Chris Blackwell , founder of Island Records and longtime Laswell booster , gave Laswell the opportunity to begin a new label with the backing of Island Records .","In addition to purchasing his own studio ( the famed Greenpoint Studio in Brooklyn ) , Chris Blackwell , founder of Island Records and longtime Laswell booster , gave Laswell the opportunity to begin a new label with the backing of Island Records ."
"Dubbed the "" Dukes of R & B "" All-4-One 's hit "" I Swear "" ( originally recorded by country music artist John Michael Montgomery a year prior ) won a Grammy Award in 1995 for Best Pop Performance by a Duo or Group with Vocal and enjoyed an eleven-week run at No .","All-4-One 's hit "" I Swear "" ( originally recorded by country music artist John Michael Montgomery a year prior ) won a Grammy Award in 1995 for Best Pop Performance by a Duo or Group with Vocal and enjoyed an eleven-week run at No .","Dubbed the "" Dukes of R & B "" All-4-One 's hit "" I Swear "" ( originally recorded by country music artist John Michael Montgomery a year prior ) won a Grammy Award in 1995 for Best Pop Performance by a Duo or Group with Vocal and enjoyed an eleven-week run at No ."
"Karen Maruyama ( born May 29 , 1958 ) is an American actress and comedienne .","Karen Maruyama ( born May 29 , 1958 ) is an American actress and comedian .","Karen Maruyama ( born May 29 , 1958 ) is an American actress and comedienne ."
"Oakridge is renowned for its drama department , which puts on a major production every second year .","Oakridge has a drama department , which presents a major production every second year .","Oakridge is known for its drama department , which puts on a major production every second year ."
William Pickering - Director of the NRO and the tragic hero,William Pickering - Director of the NRO,William Pickering - Director of the NRO
"Some third-party developers are are also critical of the competing factions within Apple themselves , illustrated by the ongoing rivalry between the developers of Cocoa , which came from NeXT , and those of Carbon , which came from Apple .","Some third-party developers are are also critical of the competing factions within Apple themselves , illustrated by the perception of an ongoing rivalry between the developers of Cocoa , which came from NeXT , and those of Carbon , which came from Apple .","Some third-party developers are are also critical of the competing factions within Apple themselves , illustrated by the ongoing rivalry between the developers of Cocoa , which came from NeXT , and those of Carbon , which came from Apple ."
The memory architecture makes use of bank switching which makes programming complicated .,The memory architecture makes use of bank switching .,The memory architecture makes use of bank switching which makes programming difficult .
"The groom , Prince William , Duke of Cambridge , is the eldest son of Charles , Prince of Wales , and is second in the line of succession to the British Throne and the thrones of fifteen other Commonwealth realms .","The groom , Prince William , Duke of Cambridge , is the eldest son of Charles , Prince of Wales , and is second in the line of succession to the thrones of 16 countries known collectively as the Commonwealth realms .","The groom , Prince William , Duke of Cambridge , is the eldest son of Charles , Prince of Wales , and is second in the line of succession to the British Throne and the thrones of fifteen other Commonwealth realms ."
"Also the high quality and design oriented Italian kitchenware manufacturer Serafino Zani is known for his moka pots : "" Finlandia "" designed by Tapio Wirkkala , "" Mach "" designed by Isao Hosoe and awarded with the Good Design Award ( Chicago ) 1993 , "" Thema "" in stainess steel with titanium and "" Genesis "" in stainless steel and copper , both designed by Tarcisio Zani .","Also the design oriented Italian kitchenware manufacturer Serafino Zani is known for his moka pots : "" Finlandia "" designed by Tapio Wirkkala , "" Mach "" designed by Isao Hosoe and awarded with the Good Design Award ( Chicago ) 1993 , "" Thema "" in stainess steel with titanium and "" Genesis "" in stainless steel and copper , both designed by Tarcisio Zani .","Also the high quality and design oriented Italian kitchenware manufacturer Serafino Zani is known for his moka pots : "" Finlandia "" designed by Tapio Wirkkala , "" Mach "" designed by Isao Hosoe and awarded with the Good Design Award ( Chicago ) 1993 , "" Thema "" in stainess steel with titanium and "" Genesis "" in stainless steel and copper , both designed by Tarcisio Zani ."
"Successive Greek Government policies refused to acknowledge the existence of an ethnic Turkish community in Northern Greece , and insisted on referring to Western Thrace Turks as Greek Muslims , falsely suggesting that they were not of ethnic Turkish origin but were the descendants of Ottoman-era Greek converts to Islam like the Vallahades and other Greek Muslims of Greek Macedonia .","Successive Greek Government policies refused to acknowledge the existence of an ethnic Turkish community in Northern Greece , and insisted on referring to Western Thrace Turks as Greek Muslims , suggesting that they were not of ethnic Turkish origin but were the descendants of Ottoman-era Greek converts to Islam like the Vallahades and other Greek Muslims of Greek Macedonia .","Successive Greek Government policies refused to acknowledge the existence of an ethnic Turkish community in Northern Greece , and insisted on referring to Western Thrace Turks as Greek Muslims , falsely suggesting that they were not of ethnic Turkish origin but were the descendants of Ottoman-era Greek converts to Islam like the Vallahades and other Greek Muslims of Greek Macedonia ."
"The use of capital punishment is very bad , frequently known as the death penalty , is highly controversial in some countries .","The use of capital punishment , frequently known as the death penalty , is highly controversial in some countries .",The use of capital punishment is very controversial in some countries .
"General of the Army Douglas MacArthur ( January 26 1880 – April 5 1964 ) , was an American general and Field Marshal of the Philippines Army .","Douglas MacArthur ( January 26 1880 – April 5 1964 ) , was an American general and Field Marshal of the Philippines Army .","General of the Army Douglas MacArthur ( January 26 1880 – April 5 1964 ) , was an American general and Field Marshal of the Philippine Army ."
"Since then , the neoabolitionist historians led by Eric Foner have become the new mainstream .","Since then , the neoabolitionist historians led by Eric Foner have continued supporting that argument .","Since then , the neoabolitionist historians led by Eric Foner have become the mainstream ."
"In another incident , Edward was alleged to have cheated by pretending that information he had gleaned earlier had just been revealed by spirits and feigning surprise .","In another incident , Edward was alleged to have hot read with information he gleaned earlier the same day .","In another incident , Edward was alleged to have cheated by pretending that information he had gleaned earlier had just been revealed by spirits and feigning surprise ."
"In late 2006 , Comair earned the disgraceful distinction of being at the bottom of the list for worst on time performance of all major U.S. carriers .","In late 2006 , Comair had the worst on time performance of all major U.S. carriers .","In late 2006 , Comair earned the distinction of being at the bottom of the list for worst on time performance of all major U.S. carriers ."
During this time he was also mentored by famous composer Ross Stewart .,During this time he was also mentored by composer Ross Stewart .,During this time he was also mentored by composer Ross Stewart .
"However , as early as 1958 , some Indian authors have shown Siachen Glacier as part of Pakistan , although Government of India never approved these maps officially .","However , as early as 1958 , some Indian authors have shown Siachen Glacier as part of Pakistan .","However , as early as 1958 , some Indian authors have shown Siachen Glacier as part of Pakistan , although Government of India never officially approved these maps ."
"Among its many pre-occupations , Kabbalah teaches that every Hebrew letter , word , number , even the accent on words of the Hebrew Bible contains a hidden sense ; and it teaches the methods of interpretation for ascertaining these meanings .","Kabbalah teaches that every Hebrew letter , word , number , even the accent on words of the Hebrew Bible contains a hidden sense ; and it teaches the methods of interpretation for ascertaining these meanings .","Among its many pre-occupations , Kabbalah teaches that every Hebrew letter , word , number , even the accent on words of the Hebrew Bible contains a hidden sense ; and it teaches the methods of interpretation for ascertaining these meanings ."
"In non militaristic societies such as the United States or the United Kingdom , freedom of speech and association , and the right to petition goverment provides for groups to be formed by civilians , former military members and veterans and their families to legitimately promote , represent or lobby for the different military services goals , concepts , policies and doctrines .","In non militaristic societies such as the United States or the United Kingdom , freedom of speech and association , and the right to petition goverment provides for the formation of groups formed by civilians , former military members and veterans and their families to promote , represent or lobby for the different military services goals , concepts , policies and doctrines .","In non militaristic societies such as the United States or the United Kingdom , freedom of speech and association , and the right to petition government provides for groups to be formed by civilians , former military members and veterans and their families to legitimately promote , represent or lobby for the different military services goals , concepts , policies and doctrines ."
"The lives and relationships of people with morally unacceptable lifestyles may have some elements of good , even of great good , such as sacrificial love and consistent respect .","This view teaches that the lives and relationships of people with morally unacceptable lifestyles may have some elements of good , even of great good , such as sacrificial love and consistent respect .","The lives and relationships of people with morally unacceptable lifestyles may have some elements of good , such as sacrificial love and consistent respect ."
The FG 42 was used by paratroopers of the Fallschirmjgerlehrbattalion ( Paratroopers ' Instructional Battalion ) to try out new equipment during the daring raid to free Benito Mussolini in September 1943 .,The FG 42 was used by paratroopers of the Fallschirmjgerlehrbattalion ( Paratroopers ' Instructional Battalion ) to try out new equipment during the raid to free Benito Mussolini in September 1943 .,The FG 42 was used by paratroopers of the Fallschirmjgerlehrbattalion ( Paratroopers ' Instructional Battalion ) to try out new equipment during the daring raid to free Benito Mussolini in September 1943 .
"In the perestroika period of the end 1980s , the movement for the returning of "" true "" language was initiated , meaning the further unprecised "" cancellment "" of the effects of the 1933 reform .","In the perestroika period of the end 1980s , the movement for the returning of Tarakievica in Belarus was initiated , meaning the further unprecised "" cancellment "" of the effects of the 1933 reform .","In the perestroika period of the end 1980s , the movement for the returning of "" true "" language was initiated , meaning the further unprecised "" cancellation "" of the effects of the 1933 reform ."
"Due to all of these factors , law enforcement orders of 9mm ammo from all major ammunition manufacturers have spiked dramatically .","Due to all of these factors , law enforcement orders of 9mm ammo from all major ammunition manufacturers have spiked significantly .","Due to all of these factors , law enforcement orders of 9mm ammo from all major ammunition manufacturers have spiked dramatically ."
"Benny Morris claims that Sirin was one of the first of approximately two dozen villages that were evacuated on Arab orders in April-May 1948 for "" pre-invasion military reasons . ""","Benny Morris writes that Sirin was one of the first of approximately two dozen villages that were evacuated on Arab orders in April-May 1948 for "" pre-invasion military reasons . ""","Benny Morris claims that Sirin was one of the first of approximately two dozen villages that were evacuated on Arab orders in April-May 1948 for "" pre-invasion military reasons ."
Abney Park Cemetery- fine overgrown Victorian cemetery and Nature Reserve,Abney Park Cemetery- overgrown Victorian cemetery and Nature Reserve,Abney Park Cemetery- Victorian cemetery and Nature Reserve
"By 1660 , the Apostle to the Indians , John Eliot oversaw the establishment of seven "" Praying Towns . ""","By 1660 , John Eliot oversaw the establishment of seven "" Praying Towns . ""","By 1660 , the Apostle to the Indians , John Eliot oversaw the establishment of seven "" Praying Towns ."
Sunny Li ( ; born 4 September 1991 ) is a exceptional young Chinese concert pianist .,Sunny Li ( ; born 4 September 1991 ) is a Chinese concert pianist .,Sunny Li ( ; born 4 September 1991 ) is a Chinese concert pianist .
"Many secular humanists derive their moral codes from a philosophy of utilitarianism , ethical naturalism , or evolutionary ethics , and some , such as Sam Harris , advocate a science of morality .","Many Humanists derive their moral codes from a philosophy of utilitarianism , ethical naturalism , or evolutionary ethics , and some , such as Sam Harris , advocate a science of morality .","Many secular humanists derive their moral codes from a philosophy of utilitarianism , ethical naturalism , or evolutionary ethics , and some , such as Sam Harris , advocate a science of morality ."
"It has no fewer than six official languages , reflecting not only a great cultural and linguistic diversity , but a welcome level of warmth and tolerance among the various peoples .","It has no fewer than six official languages , reflecting its great cultural and linguistic diversity .","It has six official languages , reflecting not only a great cultural and linguistic diversity , but a welcome level of warmth and tolerance among the various peoples ."
"Considered a brilliant but megalomaniacal sociopath by the outside world , Kane 's followers as well as Kane himself instead see him as a holy figure , even going so far as to refer to him as the Messiah .","Considered a brilliant sociopath by the outside world , Kane 's followers as well as Kane himself instead see him as a holy figure , even going so far as to refer to him as the Messiah .","Considered a brilliant but megalomaniacal sociopath by the outside world , Kane 's followers as well as Kane himself instead see him as a holy figure , even going so far as to refer to him as the Messiah ."
"Romney effectively secured the nomination by early May as the economy improved , albeit at a persistently laggard rate .","Romney effectively secured the nomination by early May as the economy improved , albeit at a persistently slow rate .","Romney effectively secured the nomination by early May as the economy improved , albeit at a persistently laggard rate ."
Caruso also was the first commissioner to call for the resignation of Coliseum Commission General Manager Pat Lynch over the hosting of the events .,Caruso later called for the resignation of Coliseum Commission General Manager Pat Lynch over the hosting of the events .,Caruso also was the first commissioner to call for the resignation of Coliseum Commission General Manager Pat Lynch over the hosting of the events .
The independence of the modern State of Israel was achieved in 1948 after more than sixty years of efforts by Zionist leaders to establish sovereignty and self-determination in the Jewish National Homeland .,The independence of the modern State of Israel was declared in 1948 after more than sixty years of efforts by Zionist leaders to establish sovereignty and self-determination in the Jewish National Homeland .,"The independence of the modern State of Israel was achieved in 1948 after more than sixty years of efforts by Zionist leaders to establish sovereig You are provided with a linguistically biased sentence from a wikipedia article. Linguistic bias refers to the use of words, phrases, or structures that carry a subjective tone. Such biases can influence the reader's perception, making the text less neutral. Your task is to rephrase the given sentence to remove or neutralize the bias in such a way that most of its original meaning, content and structure is retained."
"Some critics contend that deep ecology is highly misanthropic , in that it advocates human extinction , or at least a large reduction in human population .","Some critics contend that deep ecology is misanthropic , in that it advocates human extinction , or at least a large reduction in human population .","Some critics contend that deep ecology is highly misanthropic , in that it advocates human extinction , or at least a large reduction in human population ."
"While multiple sources confirm that Rochester was Barry 's lover , the only source for the coaching story is a Life of Barry published in 1740—65 years after the events— by the notoriously inventive Edmund Curll ( see entry on Curll in the "" 1911 Encyclopdia Britannica ) .","While multiple sources confirm that Rochester was Barry 's lover , the only source for the coaching story is a Life of Barry published in 1740—65 years after the events— by Edmund Curll , well-known for his fancyful and inaccurate biographies .","While multiple sources confirm that Rochester was Barry 's lover , the only source for the coaching story is a Life of Barry published in 1740—65 years after the events— by Edmund Curll ."
"This is attested in the books of Ezra and Nehemiah , and Halivni supports his theory with Talmudic and Midrashic sources which indicate that Ezra played a role in editing the Torah .","He claims that this is attested in the books of Ezra and Nehemiah , and Halivni supports his theory with Talmudic and Midrashic sources which indicate that Ezra played a role in editing the Torah .","This is attested in the books of Ezra and Nehemiah , and Halivni supports his theory with Talmudic and Midrashic sources which indicate that Ezra played a role in editing the Torah ."
"In 2003 , popular pop-punk band The Offspring announced that they would be naming their upcoming album "" Chinese Democracy "" in a dig on the long delayed GNR title ( 9 ) .","In 2003 , pop-punk band The Offspring announced that they would be naming their upcoming album "" Chinese Democracy "" in a dig on the long delayed GNR title ( 9 ) .","In 2003 , popular pop-punk band The Offspring announced that they would be naming their upcoming album "" Chinese Democracy "" in a dig on the long delayed GNR title ( 9 ) ."
"Incandescent bulbs are highly wasteful , with most varieties converting less than 10 % of the energy they use into visible light , with the remaining energy used being converted into heat .","Incandescent bulbs are very inefficient , with most varieties converting less than 10 % of the energy they use into visible light , with the remaining energy being converted into heat .","Incandescent bulbs are highly wasteful , with most varieties converting less than 10 % of the energy they use into visible light , with the remaining energy used being converted into heat ."
"During the campaign , controversy erupted over alleged differences between Palin 's positions as a gubernatorial candidate and her position as a vice-presidential candidate .","During the campaign , some pointed out alleged differences between Palin 's positions as a gubernatorial candidate and her position as a vice-presidential candidate .","During the campaign , controversy erupted over alleged differences between Palin 's positions as a gubernatorial candidate and her position as a vice-presidential candidate ."
"Kumar is one of the most prolific actors of Indian cinema , having starred in 110 films , including 46 commercially successful films and 29 hit films according to boxofficeindia .","Kumar is one of the most prolific actors of Indian cinema , having starred in 110 films , of which many were commercially successful .","Kumar is one of the most prolific actors of Indian cinema , having starred in 110 films , including 46 commercially successful films and 29 hit films according to boxofficeindia ."
"It has drawn substantial criticism for its revelation that King Hamlet was a pedophile who molested Laertes , Horatio , Rosencrantz and Guildenstern , and allegedly implying that this in turn made them gay .","It has drawn substantial criticism for its revelation that King Hamlet was a pedophile who molested Laertes , Horatio , Rosencrantz and Guildenstern , and allegedly implying that this in turn made them homosexuals .","It has drawn criticism for its revelation that King Hamlet was a pedophile who molested Laertes , Horatio , Rosencrantz and Guildenstern , and allegedly implying that this in turn made them gay ."
"GC , leading Japanese dental manufacturer","GC , a Japanese dental manufacturer","GC , Japanese dental manufacturer"
"The 20 April 2010 explosion of the Deepwater Horizon , in which 11 people died , led to an oil spill that devastated a vast area of the United States marine environment and had a serious impact on wildlife the local fishing industry .","The 20 April 2010 explosion of the Deepwater Horizon , in which 11 people died , led to an oil spill that contaminated a vast area of United States marine environment and continues to have a serious impact on wildlife , the local fishing industry , and regional tourism .","The 20 April 2010 explosion of the Deepwater Horizon , in which 11 people died , led to an oil spill that devastated a vast area of the United States marine environment and had a serious impact on wildlife the local fishing industry ."
"The Provisional Irish Republican Army ( PIRA ; more commonly referred to as the IRA , the Provos , or by some of its supporters as the army or the Ra ) is an Irish Republican terrorist organisation .","The Provisional Irish Republican Army ( PIRA ; more commonly referred to as the IRA , the Provos , or by some of its supporters as the army or the Ra ) is an Irish Republican paramilitary organisation .","The Provisional Irish Republican Army ( PIRA ; more commonly referred to as the IRA , the Provos , or by some of its supporters as the army or the Ra ) is an Irish Republican terrorist organisation ."
( He notes that it is logically impossible for a God to be simultaneously omniscient and omnipotent . ),( Dawkins argues that it is logically impossible for a God to be simultaneously omniscient and omnipotent . ),( He notes that it is logically impossible for a God to be simultaneously omniscient and omnipotent . )
The Kingdom of God Is Within You ( Tsarstvo Bozhiye vnutri vas ) is the non-fiction magnum opus of Leo Tolstoy .,The Kingdom of God Is Within You ( Tsarstvo Bozhiye vnutri vas ) is non-fiction book written by Leo Tolstoy .,The Kingdom of God Is Within You ( Tsarstvo Bozhiye vnutri vas ) is the non-fiction book of Leo Tolstoy .
"It is generally agreed that Summersby and Eisenhower became extremely close during the war , and some writers have suggested that they had a sexual relationship , although several people who knew both of them at the time have refuted that claim , as have most of Eisenhower 's biographers .","It is generally agreed that Summersby and Eisenhower became extremely close during the war , and some writers have suggested that they had a sexual relationship , although several people who knew both of them at the time have rejected that claim , as have most of Eisenhower 's biographers .","It is generally agreed that Summersby and Eisenhower became extremely close during the war , and some writers have suggested that they had a sexual relationship , although several people who knew both of them at the time have refuted that claim , as have most of Eisenhower 's biographers ."
"The character of Annabelle is based on Roseanne Barr , whose anger and bad behavior Lorre suffered under while running her eponymous blockbuster TV show ; the title font for the show-within-a-show "" Annabelle "" is even identical to the one used for Roseanne .","The character of Annabelle is based on Roseanne Barr , who Lorre believed behaved poorly while he was running her eponymous blockbuster TV show ; the title font for the show-within-a-show "" Annabelle "" is even identical to the one used for Roseanne .","The character of Annabelle is based on Roseanne Barr , whose anger and bad behavior Lorre suffered under while running her eponymous blockbuster TV show ; the title font for the show-within-a-show "" Annabelle "" is even identical to the one used for Roseanne ."
"Some people may be atheists partly because of growing up in an environment where atheism is relatively common , such as being raised by atheist parents - in much the same way that all people initially adopt the ideas and beliefs of their surrounding environment .","Some people may be atheists partly because of growing up in an environment where atheism is relatively common , such as being raised by atheist parents ; in much the same way some people adopt the ideas and beliefs of their surrounding environment .","Some people may be atheists partly because of growing up in an environment where atheism is relatively common , such as being raised by atheist parents - in much the same way that all people initially adopt the ideas and beliefs of their surrounding environment ."
"Part of the problem in the early days of the Selous Scouts and Rhodesia , was that the security forces and the freedom fighters had clearly defined roles .","Part of the problem in the early days of the Selous Scouts and Rhodesia , was that the security forces and the guerillas had clearly defined roles .","Part of the problem in the early days of the Selous Scouts and Rhodesia , was that the security forces and the freedom fighters had roles ."
